city;date;meantemp;humidity;wind_speed;meanpressure
Sofia;30.7.2015;29.0;67.75;9.9625;998.875
Sofia;30.7.2015;29.0;67.75;9.9625;998.875
Sofia;30.7.2015;29.0;67.75;9.9625;998.875
Sofia;30.7.2015;29.0;67.75;9.9625;998.875
Sofia;30.7.2015;29.0;67.75;9.9625;998.875
Sofia;30.7.2015;29.0;67.75;9.9625;998.875
Sofia;13.5.2014;25.25;65.75;9.9625;1008.375
Sofia;13.5.2014;25.25;65.75;9.9625;1008.375
Sofia;13.5.2014;25.25;65.75;9.9625;1008.375
Sofia;13.5.2014;25.25;65.75;9.9625;1008.375
Sofia;13.5.2014;25.25;65.75;9.9625;1008.375
Sofia;13.5.2014;25.25;65.75;9.9625;1008.375
Sofia;8.3.2014;19.875;63.875;9.9625;1017.0
Sofia;8.3.2014;19.875;63.875;9.9625;1017.0
Sofia;8.3.2014;19.875;63.875;9.9625;1017.0
Sofia;8.3.2014;19.875;63.875;9.9625;1017.0
Sofia;8.3.2014;19.875;63.875;9.9625;1017.0
Sofia;8.3.2014;19.875;63.875;9.9625;1017.0
Sofia;25.7.2014;30.75;63.25;9.9625;1000.75
Sofia;25.7.2014;30.75;63.25;9.9625;1000.75
Sofia;25.7.2014;30.75;63.25;9.9625;1000.75
Sofia;25.7.2014;30.75;63.25;9.9625;1000.75
Sofia;25.7.2014;30.75;63.25;9.9625;1000.75
Sofia;25.7.2014;30.75;63.25;9.9625;1000.75
Sofia;30.6.2015;30.875;58.625;9.9625;1002.625
Sofia;30.6.2015;30.875;58.625;9.9625;1002.625
Sofia;30.6.2015;30.875;58.625;9.9625;1002.625
Sofia;30.6.2015;30.875;58.625;9.9625;1002.625
Sofia;30.6.2015;30.875;58.625;9.9625;1002.625
Sofia;30.6.2015;30.875;58.625;9.9625;1002.625
Sofia;26.8.2014;34.125;40.25;9.9625;1001.375
Sofia;26.8.2014;34.125;40.25;9.9625;1001.375
Sofia;26.8.2014;34.125;40.25;9.9625;1001.375
Sofia;26.8.2014;34.125;40.25;9.9625;1001.375
Sofia;26.8.2014;34.125;40.25;9.9625;1001.375
Sofia;26.8.2014;34.125;40.25;9.9625;1001.375
Sofia;27.1.2014;16.625;72.375;9.95;1018.75
Sofia;27.1.2014;16.625;72.375;9.95;1018.75
Sofia;27.1.2014;16.625;72.375;9.95;1018.75
Sofia;27.1.2014;16.625;72.375;9.95;1018.75
Sofia;27.1.2014;16.625;72.375;9.95;1018.75
Sofia;27.1.2014;16.625;72.375;9.95;1018.75
Sofia;13.3.2014;19.0;60.625;9.95;1016.25
